ENSEMBL	X1_CTR_BC_2	X2_TGF_BC_4	X3_IR_BC_5	X4_CTR_BC_6	X5_TGF_BC_7	X6_IR_BC_12	X7_CTR_BC_13	X8_TGF_BC_14	X9_IR_BC_15
ENSG00000172725	1732	2180	1347	1704	1688	1332	1214	2252	1798
ENSG00000172728	517	489	413	464	466	454	433	424	392
ENSG00000172731	154	234	95	144	178	127	147	245	127
ENSG00000172732	890	1318	709	935	1083	603	660	1278	811
ENSG00000172733	24	21	13	27	38	17	13	23	7
ENSG00000172738	123	120	169	121	96	128	136	109	120
ENSG00000172742	21	11	11	24	15	7	23	27	24
ENSG00000172746	1	5	14	3	3	7	8	2	0
ENSG00000172748	167	182	166	188	180	138	164	175	185
ENSG00000172752	0	0	0	0	0	1	0	0	0
ENSG00000172757	29055	33061	28760	29260	28367	27084	22340	33876	32090
ENSG00000172765	655	945	770	775	949	804	670	828	806
ENSG00000172766	735	795	568	893	779	494	849	631	588
ENSG00000172769	0	0	0	0	0	0	0	0	0
ENSG00000172771	29	40	12	35	41	39	22	33	43
ENSG00000172772	0	0	0	0	0	0	0	0	0
ENSG00000172775	1919	2170	1623	1992	2184	1601	1917	2068	1752
ENSG00000172780	1043	1060	837	548	610	865	601	841	1245
ENSG00000172782	11	27	6	13	9	0	7	10	8
ENSG00000172785	1164	1282	1010	1386	1267	1134	1247	1041	1230
ENSG00000172789	0	2	7	2	0	0	2	0	16
ENSG00000172794	26	10	10	28	10	15	12	24	18
ENSG00000172795	885	988	576	768	915	552	923	755	652
ENSG00000172799	0	0	0	0	0	0	0	3	0
ENSG00000172803	47	72	26	24	34	37	31	78	49
ENSG00000172809	12071	12576	10276	12716	12689	10233	11330	11706	10359
ENSG00000172817	2907	1340	3558	2992	1247	2962	2844	1262	3411
ENSG00000172818	1	0	0	0	0	0	0	1	0
ENSG00000172819	2456	3261	1432	2362	2590	1370	1767	3130	1850
ENSG00000172824	227	239	245	312	190	280	192	225	308
ENSG00000172828	38	54	62	25	49	54	51	41	118
ENSG00000172830	803	746	798	802	631	658	549	827	857
ENSG00000172831	1613	1774	1872	1649	1482	1669	1283	1770	1969
ENSG00000172840	800	957	716	793	734	631	692	714	729
ENSG00000172845	4483	4385	2655	4413	4211	2493	4247	3828	2514
ENSG00000172867	0	1	0	0	0	0	0	1	5
ENSG00000172869	1530	1642	1515	1498	1547	1511	1712	1297	1859
ENSG00000172878	292	480	145	263	450	189	283	375	173
ENSG00000172888	1782	1764	1378	1921	1593	1265	1694	1488	1502
ENSG00000172889	186	144	226	229	106	196	112	204	329
ENSG00000172890	2412	2640	2420	2544	2034	2423	1945	2448	2831
ENSG00000172893	1311	1313	1759	1357	1073	1509	965	1309	1872
ENSG00000172900	3	8	1	3	1	4	0	4	4
ENSG00000172901	9	17	18	26	17	18	32	14	15
ENSG00000172912	0	1	0	0	0	0	0	0	4
ENSG00000172915	729	815	775	737	644	800	831	627	981
ENSG00000172922	619	808	553	744	622	515	509	771	737
ENSG00000172927	64	105	60	94	111	71	94	115	89
ENSG00000172932	732	959	596	789	779	580	589	1016	730
ENSG00000172935	2515	1964	1693	2481	1484	1514	1760	2159	1882
ENSG00000172936	1415	1702	1095	1568	1486	1072	1197	1475	1219
ENSG00000172938	0	0	0	0	0	0	0	0	0
ENSG00000172939	4495	4559	3807	4555	4375	3900	4193	4040	4229
ENSG00000172940	2	2	5	0	2	0	8	5	7
ENSG00000172943	842	1131	734	922	934	691	779	964	851
ENSG00000172954	638	633	609	697	580	629	653	579	660
ENSG00000172955	23	22	12	27	29	21	22	16	20
ENSG00000172965	1875	2226	1992	2115	2149	1908	1944	1878	1959
ENSG00000172967	0	0	0	0	0	0	0	1	0
ENSG00000172969	6	0	1	0	0	2	0	0	0
ENSG00000172971	0	0	0	0	1	0	0	0	3
ENSG00000172974	21	63	10	33	40	49	53	51	9
ENSG00000172977	724	1010	582	730	899	512	634	1025	727
ENSG00000172985	905	1719	517	897	1523	484	828	1429	585
ENSG00000172986	345	432	190	445	439	242	454	381	283
ENSG00000172987	65	38	43	79	27	27	63	26	29
ENSG00000172992	1076	1233	1045	1022	958	1044	780	1216	1327
ENSG00000172995	0	0	0	0	0	1	0	1	0
ENSG00000173011	727	779	729	832	731	617	683	766	772
ENSG00000173013	48	68	79	63	54	39	33	41	54
ENSG00000173020	1050	1447	871	1110	1142	744	845	1490	905
ENSG00000173039	2370	2976	2019	2403	2492	1770	1752	3040	2050
ENSG00000173040	497	577	313	399	552	294	387	596	371
ENSG00000173041	220	181	111	188	195	173	206	136	132
ENSG00000173064	1121	1504	1288	1376	1175	1286	1161	1263	1648
ENSG00000173065	576	764	551	644	586	547	537	676	688
ENSG00000173068	2163	2529	1294	2359	2299	1329	1975	2063	1405
ENSG00000173077	40	25	18	30	26	31	25	23	24
ENSG00000173080	1	3	0	0	0	0	0	0	0
ENSG00000173083	114	49	81	143	52	41	92	50	97
ENSG00000173085	464	429	351	486	372	371	430	413	319
ENSG00000173093	0	0	0	0	0	0	0	0	0
ENSG00000173110	8	7	6	6	2	15	5	10	15
ENSG00000173113	2035	2484	1749	2144	2138	1696	1662	2449	2086
ENSG00000173114	1479	1197	5320	1487	881	5257	2098	1040	5539
ENSG00000173120	4031	4574	3116	4338	4075	2925	3432	4324	3383
ENSG00000173124	5	0	0	1	1	0	0	1	0
ENSG00000173137	197	222	115	190	184	95	129	239	143
ENSG00000173141	676	837	798	838	807	769	784	843	807
ENSG00000173145	1308	1385	1255	1540	1296	1323	1380	1070	1323
ENSG00000173153	423	573	421	460	477	367	308	626	510
ENSG00000173156	260	375	333	308	354	311	204	424	350
ENSG00000173157	1	1	0	0	1	0	0	0	0
ENSG00000173163	658	689	603	779	697	598	576	647	638
ENSG00000173166	1534	1293	1816	1618	1287	1684	1490	1295	2040
ENSG00000173171	1288	1665	1331	1359	1361	1208	1140	1582	1527
ENSG00000173175	10	26	8	4	16	9	5	16	15
ENSG00000173193	3385	4674	1924	4352	3972	2205	3367	3466	2112
ENSG00000173198	147	153	142	129	97	120	147	110	140
ENSG00000173200	26	48	32	50	36	25	62	35	37
ENSG00000173207	717	917	347	699	788	297	685	856	355
ENSG00000173208	1	0	0	0	0	0	0	0	2
ENSG00000173209	4382	4687	2948	4941	4446	2916	4214	4114	3130
ENSG00000173210	4141	3653	3575	4176	3205	3590	3510	3565	4007
ENSG00000173212	8	5	11	12	1	40	12	10	9
ENSG00000173213	0	1	0	0	0	0	0	0	1
ENSG00000173214	350	357	305	390	360	268	296	353	341
ENSG00000173218	1056	1215	777	1016	1128	845	1045	1090	891
ENSG00000173221	2532	2029	2887	2876	1973	3033	2632	1824	3024
ENSG00000173226	663	745	457	659	739	394	576	601	467
ENSG00000173227	45	104	22	47	112	25	26	91	47
ENSG00000173230	5369	5479	6116	6353	5411	6645	6333	4787	7641
ENSG00000173231	0	2	0	0	0	0	0	0	0
ENSG00000173237	1	4	0	6	3	1	0	8	3
ENSG00000173239	0	1	0	0	0	0	0	0	0
ENSG00000173250	0	0	0	0	0	0	0	1	3
ENSG00000173253	0	0	0	0	0	0	0	0	0
ENSG00000173258	41	51	41	43	34	40	46	36	60
ENSG00000173261	6	8	6	7	9	0	14	4	5
ENSG00000173262	10	10	8	18	2	0	3	9	5
ENSG00000173264	634	895	582	660	645	598	385	963	804
ENSG00000173267	63	45	53	66	50	25	49	64	55
ENSG00000173269	63	56	24	46	42	33	48	48	32
ENSG00000173272	674	839	518	701	693	517	566	1011	637
ENSG00000173273	2510	2707	2047	2742	2332	2134	2693	2397	2548
ENSG00000173275	806	641	686	824	645	658	817	550	689
ENSG00000173276	1299	1414	980	1206	1364	964	1161	1156	1025
ENSG00000173281	732	757	513	805	796	548	663	643	563
ENSG00000173285	24	40	14	41	21	35	26	21	28
ENSG00000173295	270	259	290	321	236	292	241	243	332
ENSG00000173302	0	0	0	0	0	0	0	0	0
ENSG00000173320	5	3	12	10	6	7	3	2	3
ENSG00000173327	774	981	670	821	719	622	538	1033	839
ENSG00000173334	861	788	451	919	740	460	784	707	431
ENSG00000173335	0	0	0	0	0	0	0	0	0
ENSG00000173338	3	12	1	1	5	8	0	8	0
ENSG00000173349	0	0	0	0	0	0	0	0	0
ENSG00000173357	0	0	0	0	0	0	0	0	0
ENSG00000173366	15	4	8	6	5	0	12	11	1
ENSG00000173369	0	0	1	0	0	0	0	0	0
ENSG00000173372	0	1	0	0	0	0	0	0	0
ENSG00000173376	1	6	4	6	13	1	1	3	0
ENSG00000173389	0	0	0	0	1	0	1	1	0
ENSG00000173391	197	310	734	204	236	624	230	214	747
ENSG00000173401	0	2	8	0	3	0	0	0	0
ENSG00000173402	5285	5849	6958	5532	5032	6309	4432	5437	7549
ENSG00000173404	0	0	0	0	0	0	0	0	0
ENSG00000173406	160	177	87	166	150	37	158	142	67
ENSG00000173409	828	728	1046	969	766	1016	839	662	1106
ENSG00000173418	2212	1968	2280	2214	2056	2128	2133	1825	2282
ENSG00000173421	32	33	25	26	25	35	25	37	26
ENSG00000173431	0	0	0	0	0	0	0	0	0
ENSG00000173432	66	203	202	62	147	177	77	152	205
ENSG00000173436	2224	2226	2372	2456	1987	2254	2043	1855	2706
ENSG00000173442	2679	2836	2112	2787	2404	2039	2035	2826	2558
ENSG00000173451	344	279	363	341	275	375	334	294	330
ENSG00000173452	0	0	0	0	0	0	0	0	0
ENSG00000173456	1065	1372	793	897	1121	712	724	1278	907
ENSG00000173457	1667	2640	1142	1734	2097	1094	1178	2707	1324
ENSG00000173464	0	0	0	0	0	0	0	0	0
ENSG00000173465	533	779	471	604	582	463	426	727	659
ENSG00000173467	0	0	5	1	0	0	0	0	0
ENSG00000173473	3953	5076	3008	4209	4604	3017	3782	4523	2961
ENSG00000173480	463	387	248	434	372	304	266	321	373
ENSG00000173482	5028	4531	5025	5043	4340	4918	4526	4316	5631
ENSG00000173486	1014	1129	906	1119	886	859	745	1098	1042
ENSG00000173511	1313	1872	1187	1386	1543	996	1103	1807	1246
ENSG00000173517	4574	5535	4752	5334	5658	4850	4920	4779	5803
ENSG00000173530	2436	2369	4938	2410	2359	4428	2522	2383	5789
ENSG00000173531	397	530	262	370	433	307	268	501	353
ENSG00000173535	381	260	635	380	220	601	357	298	751
ENSG00000173540	725	994	574	664	707	494	474	911	627
ENSG00000173542	1853	1834	1700	1861	1858	1690	1694	1546	1893
ENSG00000173545	844	970	1278	956	889	1253	843	981	1351
ENSG00000173546	3728	4996	2978	3667	3702	2993	2432	5128	3880
ENSG00000173548	2065	2540	1676	2138	1922	1640	1596	2468	1841
ENSG00000173557	0	0	0	0	0	0	0	0	0
ENSG00000173559	9433	5747	19651	10356	5366	19575	10261	5915	22959
ENSG00000173567	8	12	11	12	15	22	19	15	6
ENSG00000173572	0	0	0	0	0	0	0	0	0
ENSG00000173575	4310	4342	3573	5001	4112	3478	4391	4041	4274
ENSG00000173578	1	0	2	1	1	7	0	2	8
ENSG00000173581	387	585	307	397	425	266	243	571	416
ENSG00000173585	0	0	1	1	0	0	5	0	0
ENSG00000173588	442	574	314	504	573	347	490	505	295
ENSG00000173597	101	112	100	136	97	104	96	122	101
ENSG00000173598	4424	4962	3786	4128	4529	3438	3998	4064	3792
ENSG00000173599	1023	1029	521	1089	785	520	785	1120	628
ENSG00000173610	3	2	1	5	10	5	14	0	5
ENSG00000173611	630	519	355	775	634	389	769	459	482
ENSG00000173612	0	0	0	0	0	0	0	0	0
ENSG00000173614	697	664	672	669	611	666	653	653	757
ENSG00000173621	418	660	299	496	588	231	214	721	381
ENSG00000173626	54	60	77	45	62	68	63	45	85
ENSG00000173627	0	0	2	0	0	0	0	0	0
ENSG00000173638	514	646	301	550	457	327	597	593	266
ENSG00000173641	194	276	420	198	206	352	185	243	417
ENSG00000173653	286	355	144	290	277	113	198	356	149
ENSG00000173660	3882	3841	3640	3934	3428	3621	3428	3652	3997
ENSG00000173662	6	5	9	3	7	2	7	8	4
ENSG00000173673	0	0	0	0	0	0	0	0	0
ENSG00000173674	4486	3605	3789	3863	3638	3683	3825	3093	3621
ENSG00000173678	0	7	6	10	0	8	8	0	0
ENSG00000173679	0	0	0	0	0	0	0	0	0
ENSG00000173681	518	481	364	496	417	377	481	424	378
ENSG00000173692	6201	6549	6098	6133	5986	6309	5631	5863	6422
ENSG00000173698	8	16	26	21	11	9	18	5	25
ENSG00000173699	1	1	0	0	1	2	0	0	4
ENSG00000173702	5	0	4	1	0	3	8	3	1
ENSG00000173705	486	567	621	523	447	490	506	478	618
ENSG00000173706	7742	7658	9683	8563	6758	10067	7716	7127	12169
ENSG00000173714	0	3	9	3	1	0	1	1	0
ENSG00000173715	308	296	190	283	255	190	258	260	193
ENSG00000173726	7155	6886	6427	7520	6894	6240	6761	6254	6711
ENSG00000173727	275	150	395	213	138	377	341	195	323
ENSG00000173728	0	3	1	3	4	3	6	3	4
ENSG00000173744	2657	2603	2255	2618	2446	2137	2408	2244	2377
ENSG00000173757	2129	2287	1250	2007	1998	1241	1618	2126	1499
ENSG00000173762	11	6	6	26	12	9	13	10	6
ENSG00000173769	1	0	0	0	0	0	0	0	1
ENSG00000173786	3416	4098	2649	3706	3391	2609	2790	3875	3331
ENSG00000173801	2063	1924	1509	2020	1468	1333	1329	2126	1852
ENSG00000173805	26	62	33	29	32	44	29	36	39
ENSG00000173809	15	8	13	4	11	10	5	14	9
ENSG00000173810	0	1	1	1	0	0	1	3	1
ENSG00000173811	3	5	5	2	3	0	1	5	1
ENSG00000173812	15479	18638	12063	16581	18377	12644	14205	16635	13278
ENSG00000173818	558	647	456	530	555	418	342	606	509
ENSG00000173821	3971	5546	3336	5094	4788	3618	4061	4576	4303
ENSG00000173825	2	3	2	2	0	0	0	4	4
ENSG00000173826	12	9	4	0	9	3	3	5	0
ENSG00000173838	12	13	34	4	12	43	23	14	37
ENSG00000173846	711	1120	723	901	896	784	570	1192	904
ENSG00000173848	2418	3514	1512	2329	3367	1504	2113	2905	1634
ENSG00000173852	3140	2875	2245	3083	2703	2081	2789	2497	2130
ENSG00000173862	0	1	0	0	0	0	0	2	0
ENSG00000173867	131	191	106	107	89	108	107	139	155
ENSG00000173868	9	6	3	3	2	0	0	14	5
ENSG00000173875	1065	1101	934	1025	1021	822	1030	902	909
ENSG00000173889	1798	1997	1684	2038	1896	1739	1870	1703	2071
ENSG00000173890	21	23	32	23	23	17	27	26	11
ENSG00000173894	42	111	8	50	113	10	30	110	18
ENSG00000173898	36	29	43	39	30	42	30	40	28
ENSG00000173905	5106	4835	4916	4967	4465	4677	4560	4382	5039
ENSG00000173908	0	0	0	0	0	0	0	0	0
ENSG00000173914	866	1010	806	871	865	726	692	930	897
ENSG00000173915	3413	3000	4528	3621	3187	4212	3893	2627	4366
ENSG00000173917	144	168	128	156	146	121	173	172	135
ENSG00000173918	4722	3990	4150	5201	3269	3880	3898	4561	4878
ENSG00000173926	112	194	106	110	173	113	94	151	119
ENSG00000173928	36	43	37	22	35	32	21	41	45
ENSG00000173930	1	1	1	2	5	3	3	5	4
ENSG00000173933	2468	3105	2058	2362	2730	1800	2098	2817	2472
ENSG00000173947	46	45	16	48	52	35	37	56	47
ENSG00000173950	952	1330	867	917	1238	816	756	1148	900
ENSG00000173954	0	0	0	0	0	0	0	0	0
ENSG00000173960	1271	1155	1044	1328	1248	989	1266	1009	1094
ENSG00000173966	0	1	0	0	0	0	0	0	0
ENSG00000173976	1	0	4	5	0	3	0	6	0
ENSG00000173988	1	3	2	3	9	0	4	3	0
ENSG00000173991	14	15	4	7	8	5	3	7	7
ENSG00000173992	600	857	555	648	751	551	489	853	664
ENSG00000174004	13	21	16	14	24	15	10	22	18
ENSG00000174007	387	267	342	480	243	286	415	288	372
ENSG00000174010	574	565	304	556	446	393	545	446	474
ENSG00000174013	576	749	534	687	675	496	640	599	531
ENSG00000174015	0	0	0	0	0	0	0	0	0
ENSG00000174016	0	0	0	0	0	0	0	0	0
ENSG00000174021	3561	3733	2964	3703	3820	2804	3510	3478	2823
ENSG00000174028	928	947	857	929	769	893	745	757	1178
ENSG00000174032	660	735	653	520	637	695	531	589	770
ENSG00000174038	2	2	14	1	7	4	5	3	13
ENSG00000174059	77	93	34	87	69	40	81	68	35
ENSG00000174080	1356	1679	1200	1474	1445	1143	1236	1727	1384
ENSG00000174099	9590	11558	9136	9723	10509	9199	9312	9420	9852
ENSG00000174106	1205	1189	1059	1219	1083	1052	1147	1104	1114
ENSG00000174109	175	242	171	201	195	174	154	257	183
ENSG00000174123	2	9	1	2	9	6	2	7	5
ENSG00000174125	12	14	1	12	15	12	13	20	5
ENSG00000174130	162	163	101	118	150	126	152	145	70
ENSG00000174132	414	385	443	366	374	452	383	372	482
ENSG00000174136	8425	8723	10997	9220	8468	10880	8880	8433	11790
ENSG00000174137	28	63	35	32	38	29	13	57	43
ENSG00000174145	0	0	0	0	0	0	0	3	0
ENSG00000174151	678	765	724	665	613	685	505	677	806
ENSG00000174156	0	0	1	0	0	0	0	0	0
ENSG00000174165	552	566	610	555	483	567	426	642	800
ENSG00000174171	0	7	0	4	6	0	0	8	0
ENSG00000174173	1164	1097	1097	1167	1159	1081	1246	932	984
ENSG00000174175	0	0	1	0	0	1	0	0	0
ENSG00000174177	257	340	220	241	272	233	208	379	243
ENSG00000174197	913	1284	844	1175	1191	844	1164	1073	982
ENSG00000174206	185	192	147	160	163	134	192	170	178
ENSG00000174225	5	0	1	1	0	0	0	1	0
ENSG00000174226	0	0	1	0	1	1	0	0	8
ENSG00000174227	2052	2122	2084	2141	1710	1817	1757	1926	2120
ENSG00000174231	8352	9702	6606	8518	8220	6130	6751	8839	7690
ENSG00000174233	3220	3196	3750	3332	2517	3717	2546	3291	4629
ENSG00000174236	18	25	13	16	2	9	9	17	13
ENSG00000174238	3660	3706	3713	3547	3495	3295	3200	3481	3587
ENSG00000174243	2848	3209	2262	2844	2684	2224	2309	3107	2496
ENSG00000174255	0	4	0	0	0	4	2	2	1
ENSG00000174276	78	195	107	127	91	72	63	150	128
ENSG00000174279	0	0	0	0	0	0	1	0	1
ENSG00000174282	3983	4401	3996	4181	3538	3900	3552	4139	4646
ENSG00000174292	38	36	32	40	28	48	25	39	38
ENSG00000174306	2207	2504	2210	2397	2158	2083	1996	2350	2610
ENSG00000174307	2180	3165	1839	2365	2440	1756	1661	3406	2388
ENSG00000174325	13	8	13	8	3	16	5	8	9
ENSG00000174326	2	7	4	11	0	0	1	3	8
ENSG00000174327	45	45	46	44	42	19	26	52	25
ENSG00000174332	342	404	171	343	318	173	266	474	223
ENSG00000174339	0	0	0	0	0	0	0	0	0
ENSG00000174343	0	2	0	1	0	7	0	1	0
ENSG00000174348	1888	2547	2741	2210	1879	2371	1412	2506	2841
ENSG00000174353	713	740	634	601	682	469	533	655	804
ENSG00000174358	0	0	0	0	0	0	0	0	0
ENSG00000174365	230	349	195	289	283	182	162	313	163
ENSG00000174370	103	138	100	120	129	100	75	134	112
ENSG00000174371	256	434	78	242	341	79	271	257	67
ENSG00000174373	892	963	770	931	943	767	1010	785	860
ENSG00000174384	116	134	104	124	66	0	58	97	82
ENSG00000174403	11	14	11	6	7	18	1	19	17
ENSG00000174405	1150	1084	1101	1294	1116	1044	1176	885	1264
ENSG00000174407	1	1	0	0	0	0	0	1	1
ENSG00000174408	5	1	0	2	1	0	1	1	0
ENSG00000174417	0	0	0	0	0	3	0	0	0
ENSG00000174418	0	1	1	3	2	1	2	0	1
ENSG00000174428	1005	978	630	1131	863	384	688	969	670
ENSG00000174429	1	2	13	0	1	9	1	0	17
ENSG00000174437	23548	24041	18096	24392	21134	18076	20796	21053	20391
ENSG00000174442	1335	1467	784	1250	1507	767	1202	1211	782
ENSG00000174444	54593	61925	42118	59376	60123	41869	52604	59937	43998
ENSG00000174446	645	662	589	697	606	562	668	582	629
ENSG00000174448	2	4	11	4	1	4	6	2	0
ENSG00000174450	2	1	0	1	0	0	0	0	2
ENSG00000174453	3	0	2	0	0	0	0	1	0
ENSG00000174456	432	476	338	407	403	392	444	353	381
ENSG00000174460	1	1	0	0	1	0	0	0	0
ENSG00000174469	10	11	13	5	16	15	1	6	4
ENSG00000174473	0	0	5	0	2	0	0	2	15
ENSG00000174482	0	0	0	0	2	0	0	0	1
ENSG00000174483	904	978	846	1091	922	715	619	996	759
ENSG00000174485	1653	1359	1707	1652	1317	1637	1594	1198	1713
ENSG00000174495	1	2	3	2	2	2	10	3	4
ENSG00000174498	0	6	3	7	7	12	0	8	2
ENSG00000174500	39	50	36	42	20	56	38	30	52
ENSG00000174501	111	186	95	162	184	137	117	156	109
ENSG00000174502	3	0	3	0	0	0	2	0	0
ENSG00000174514	37	17	6	26	32	12	9	20	13
ENSG00000174516	253	329	288	280	207	219	159	278	271
ENSG00000174521	0	6	2	2	7	0	6	4	3
ENSG00000174527	13	15	31	18	14	10	19	10	18
ENSG00000174529	28	31	20	17	25	25	26	28	17
ENSG00000174547	802	1021	597	822	953	659	886	927	617
ENSG00000174562	0	0	0	1	0	0	0	0	0
ENSG00000174564	91	117	97	91	106	79	81	99	71
ENSG00000174567	1	1	0	0	0	8	7	1	5
ENSG00000174572	2	4	6	2	4	5	2	3	5
ENSG00000174574	3348	3605	3924	3769	3398	3852	3323	3420	4255
ENSG00000174576	20	43	22	24	21	17	16	33	26
ENSG00000174579	720	780	449	733	687	483	656	664	423
ENSG00000174586	72	105	79	101	83	74	73	121	128
ENSG00000174599	23	30	21	14	38	16	29	19	10
ENSG00000174600	520	537	109	482	526	133	384	470	178
ENSG00000174606	1115	1219	761	1155	1201	766	1001	977	697
ENSG00000174607	1	12	2	3	7	5	1	2	1
ENSG00000174611	1	4	1	1	2	0	0	6	4
ENSG00000174628	305	217	241	290	205	298	301	190	217
ENSG00000174640	170	183	76	162	141	62	115	164	88
ENSG00000174652	1633	1339	1199	1651	1260	1170	1436	1356	1100
ENSG00000174667	3	15	9	13	11	7	7	10	10
ENSG00000174669	51	26	32	47	31	33	47	45	52
ENSG00000174672	6	14	17	14	11	12	10	13	7
ENSG00000174677	0	0	1	0	0	0	0	0	0
ENSG00000174678	0	0	0	0	0	0	0	0	0
ENSG00000174680	0	6	8	0	0	0	0	4	0
ENSG00000174684	1058	1072	968	1213	897	875	1016	1045	1076
ENSG00000174695	6193	6220	6270	6666	6285	6228	6848	5152	6233
ENSG00000174697	4	14	3	5	6	1	1	8	5
ENSG00000174705	2639	3463	1348	2795	2957	1408	2155	3117	1492
ENSG00000174715	5	5	6	7	2	1	2	8	5
ENSG00000174718	870	872	667	998	955	591	940	777	556
ENSG00000174720	2070	2183	1409	2197	2069	1512	2208	1751	1458
ENSG00000174721	46	83	36	41	41	39	40	79	32
ENSG00000174738	2501	2391	1967	2675	2238	1856	2251	2054	2023
ENSG00000174740	9	12	6	8	17	5	6	13	8
ENSG00000174744	807	1015	654	747	782	573	513	1040	765
ENSG00000174748	40893	42920	33510	43043	40822	32690	37956	39408	35218
ENSG00000174749	654	574	457	582	540	431	638	469	488
ENSG00000174775	651	886	641	613	749	580	429	925	791
ENSG00000174776	0	1	0	0	0	0	0	0	0
ENSG00000174780	5896	6020	5028	5932	5793	4868	5543	5137	5093
ENSG00000174788	3	0	0	0	4	0	0	0	2
ENSG00000174791	959	1113	628	1095	856	615	727	1257	710
ENSG00000174792	7	5	5	9	8	4	6	5	13
ENSG00000174796	749	660	675	776	604	885	667	632	768
ENSG00000174799	624	775	373	746	767	441	694	614	433
ENSG00000174804	912	1026	1035	944	768	915	863	839	981
ENSG00000174807	14179	15483	12264	14941	11917	10990	9907	17682	14243
ENSG00000174808	7	12	23	11	4	15	10	5	17
ENSG00000174827	42	46	45	41	55	46	49	22	49
ENSG00000174837	1	1	0	0	2	0	0	0	0
ENSG00000174839	507	471	307	581	526	320	521	490	332
ENSG00000174840	1337	1205	1446	1306	1171	1338	1125	1129	1445
ENSG00000174842	522	485	460	563	568	476	614	442	414
ENSG00000174844	22	10	17	12	20	14	4	13	17
ENSG00000174851	1762	2287	1498	1871	1736	1395	1212	2423	1794
ENSG00000174871	50	39	21	50	67	15	30	67	47
ENSG00000174876	19	15	19	16	15	19	13	17	11
ENSG00000174885	0	5	0	0	2	0	0	0	0
ENSG00000174886	1653	2163	1839	1931	1668	1707	1257	1858	2257
ENSG00000174891	967	942	777	1080	852	887	1007	839	786
ENSG00000174898	2	1	5	1	0	5	1	3	7
ENSG00000174899	99	95	88	108	92	62	119	83	54
ENSG00000174903	4133	4758	4049	4057	3715	3661	3062	4894	4794
ENSG00000174912	15	12	16	43	7	34	2	10	6
ENSG00000174914	0	0	0	0	0	1	0	0	4
ENSG00000174915	820	963	825	808	809	760	542	1013	1027
ENSG00000174917	497	608	508	503	511	459	347	698	699
ENSG00000174928	139	138	179	144	154	182	241	114	207
ENSG00000174930	0	0	0	0	0	0	0	0	0
ENSG00000174937	0	0	0	0	0	0	0	2	0
ENSG00000174938	2296	2805	2277	2373	2172	1968	1665	3162	2723
ENSG00000174939	409	447	499	390	355	440	287	412	603
ENSG00000174943	268	353	295	286	270	247	241	350	303
ENSG00000174944	0	0	2	2	0	0	1	3	0
ENSG00000174945	65	229	102	83	155	72	48	178	88
ENSG00000174946	0	1	2	1	0	3	1	0	0
ENSG00000174948	0	0	0	0	0	0	0	0	0
ENSG00000174950	0	0	0	0	0	0	0	0	1
ENSG00000174951	22	42	25	26	32	25	19	38	21
ENSG00000174953	3091	2919	2485	3018	2840	2360	2774	2458	2357
ENSG00000174957	0	0	0	0	0	0	0	0	0
ENSG00000174963	68	65	42	66	71	66	47	52	38
ENSG00000174970	0	0	0	0	0	0	0	0	0
ENSG00000174977	0	13	5	0	6	24	6	0	6
ENSG00000174982	0	0	0	0	0	0	0	0	0
ENSG00000174989	1278	1471	1037	1562	1274	1012	1202	1250	1149
ENSG00000174990	23	29	36	41	58	14	16	26	7
ENSG00000174992	2	3	3	0	4	1	4	1	0
ENSG00000174996	855	1308	876	913	963	878	587	1279	1106
ENSG00000175003	12	8	9	11	7	3	6	6	9
ENSG00000175018	0	0	7	0	0	0	0	1	6
ENSG00000175029	4351	4442	3099	4588	4318	3071	3845	4216	3002
ENSG00000175040	321	715	209	280	569	212	212	621	249
ENSG00000175048	479	429	449	483	415	448	459	425	501
ENSG00000175054	1552	1450	1571	1568	1530	1601	1462	1338	1619
ENSG00000175061	22563	23251	19105	22449	21361	17939	18644	21637	19935
ENSG00000175063	710	1292	107	704	979	108	470	1022	109
ENSG00000175065	0	0	0	0	0	0	0	0	0
ENSG00000175066	996	1026	814	1012	925	674	918	877	734
ENSG00000175073	1183	1093	1096	1317	1051	1091	1037	998	1340
ENSG00000175077	2	0	0	1	0	1	0	0	1
ENSG00000175084	27	45	28	19	42	14	25	44	12
ENSG00000175087	172	237	139	189	212	112	211	199	133
ENSG00000175093	0	2	0	0	0	0	0	1	0
ENSG00000175097	0	0	9	3	2	0	3	1	0
ENSG00000175104	426	532	421	487	483	360	469	424	447
ENSG00000175105	1045	932	898	1082	924	969	1094	742	945
ENSG00000175106	685	797	1001	843	675	807	725	602	913
ENSG00000175110	1332	1341	1140	1504	1351	1152	1385	1150	1269
ENSG00000175115	2820	3949	2467	2784	3253	2318	2242	3695	3041
ENSG00000175121	0	0	0	0	0	0	0	0	0
ENSG00000175130	1890	2911	703	2022	2418	626	1544	2738	779
ENSG00000175137	1013	1578	957	989	1249	932	701	1537	1054
ENSG00000175143	0	0	0	0	0	0	0	0	0
ENSG00000175147	67	32	22	46	28	24	20	25	22
ENSG00000175155	733	716	739	751	720	658	675	714	781
ENSG00000175161	2	4	3	1	0	5	0	2	2
ENSG00000175164	14	15	8	18	8	15	21	11	8
ENSG00000175166	8834	10462	9478	8679	8663	9021	6887	9998	10891
ENSG00000175170	10	8	22	31	19	25	6	15	17
